id,view,Expression,Numpy,Math,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,dl_train,dl_val,dl_test
0,0,22.76678647114209,"t[0]","$$\theta_{0}$$",22.76678647114209,1,250.20995238653353,250.20995238653353,250.20995238653353,250.20995238652458,-3.774758283725532e-15,-3.774758283725532e-15,-3.774758283725532e-15,253.1911148436994,253.1911148436994,253.1911148436994
1,0,(1383.4433144862865 / x1),"(t[0] / x[:, 1])","$$\frac{\theta_{0}}{x_{1}}$$",1383.4433144862865,3,247.27063764264042,247.27063764264042,247.27063764264042,247.27063764265753,1.1747393402447015e-2,1.1747393402447015e-2,1.1747393402447015e-2,253.55675595454878,253.55675595454878,253.55675595454878
2,0,(24.968290345037 + (-0.355038430771912 / x3)),"(t[0] + (t[1] / x[:, 3]))","$$\left(\theta_{0} + \frac{\theta_{1}}{x_{3}}\right)$$",24.968290345037;-0.355038430771912,5,245.62332714454894,245.62332714454894,245.62332714454894,245.62332714456642,1.833110632984758e-2,1.833110632984758e-2,1.833110632984758e-2,259.30760985334456,259.30760985334456,259.30760985334456
3,0,Exp((-1.2241452468910468 * (x0 + -2.76996802043229))),"np.exp((t[0] * (x[:, 0] + t[1])))","$$\operatorname{exp}(\left(\theta_{0} \cdot \left(x_{0} + \theta_{1}\right)\right))$$",-1.2241452468910468;-2.76996802043229,6,153.0117642718506,153.0117642718506,153.0117642718506,153.01176427185254,0.38846651457143877,0.38846651457143877,0.38846651457143877,169.70852261108521,169.70852261108521,169.70852261108521
